Наименование;URL;Артикул;Бренд;Path;Коллекция;Тип;Назначение;Управление;Установка;Ширина;Высота;Глубина;Материал;Дизайн;Цвет;Количество монтажных отверстий;Тип излива;Форма излива;Длина излива;Смеситель в комплекте;Ручной душ;Шланг в комплекте;Стандарт подводки;Длина шланга;Верхний душ в комплекте;Страна производителя;Тропический душ в комплекте;Количество режимов душа;Диаметр лейки;Термостат;Размер верхнего душа;Вес;Количество режимов верхнего душа
Верхний душ Jacob Delafon Oblo/Talan Design E20643-CP;https://www.aquanet.ru/product/verkhniy-dush-jacob-delafon-oblo-talan-design-e20643-cp/;E20643-CP;Jacob Delafon;Главная @ Душевые системы @ Верхние души ;Oblo/Talan Design;Верхний душ;Для душа;;На потолок;400;53;250;Металл;Модерн;Хром;;;;;;;;01.фев;;;Франция;Нет;;;;400;02.июл;
Верхний душ Jacob Delafon July E21760-CP;https://www.aquanet.ru/product/verkhniy-dush-jacob-delafon-july-e21760-cp/;E21760-CP;Jacob Delafon;Главная @ Душевые системы @ Верхние души ;July;Верхний душ;Для душа;;На потолок;200;53;200;Пластик;Модерн;Хром;;;;;;;;01.фев;;;Китай;Нет;;;;200;;
Душевая лейка Jacob Delafon Oblo/Talan Design E21759-CP;https://www.aquanet.ru/product/dushevaya-leyka-jacob-delafon-oblo-talan-design-e21759-cp/;E21759-CP;Jacob Delafon;Главная @ Душевые системы @ Душевые лейки ;Oblo/Talan Design;Душевая лейка;Для душа;;На шланг;120;248;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Китай;;;;;;;
Душевая лейка Grohe Euphoria Champagne 27222000;https://www.aquanet.ru/product/dushevaya-leyka-grohe-euphoria-champagne-27222000/;27222000;Grohe;Главная @ Душевые системы @ Душевые лейки ;Euphoria;Душевая лейка;Для душа;;На шланг;110;243;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.35;
Душевая лейка Grohe New Tempesta Rustic 27608001;https://www.aquanet.ru/product/dushevaya-leyka-grohe-new-tempesta-rustic-27608001/;27608001;Grohe;Главная @ Душевые системы @ Душевые лейки ;Tempesta;Душевая лейка;Для душа;;На шланг;100;220;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.28;
Душевая лейка Grohe Euphoria Cube Stick 27698000;https://www.aquanet.ru/product/dushevaya-leyka-grohe-euphoria-cube-stick-27698000/;27698000;Grohe;Главная @ Душевые системы @ Душевые лейки ;Euphoria;Душевая лейка;Для душа;;На шланг;27;216;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.12;
Душевая лейка Grohe Tempesta New 28578002;https://www.aquanet.ru/product/dushevaya-leyka-grohe-tempesta-new-28578002/;28578002;Grohe;Главная @ Душевые системы @ Душевые лейки ;Tempesta;Душевая лейка;Для душа;;На шланг;100;220;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.31;
Душевая лейка Grohe Euphoria Cosmopolitan 27400000;https://www.aquanet.ru/product/dushevaya-leyka-grohe-euphoria-cosmopolitan-27400000/;27400000;Grohe;Главная @ Душевые системы @ Душевые лейки ;Euphoria;Душевая лейка;Для душа;;На шланг;35;216;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.16;
Душевая лейка Cezares Articoli Vari CZR-D2FC2-03;https://www.aquanet.ru/product/dushevaya_leyka_cezares_articoli_vari_czr_d2fc2_03_czr_s_d2fc2_03/;CZR-D2FC2-03;Cezares;Главная @ Душевые системы @ Душевые лейки ;Articoli Vari;Душевая лейка;Для душа;;На шланг;;;;Латунь;Модерн;Золото;;;;;;;Нет;01.фев;;;Италия;;;;;;1;
Душевая лейка Grohe Tempesta Cosmopolitan 27571002;https://www.aquanet.ru/product/dushevaya-leyka-grohe-tempesta-cosmopolitan-27571002/;27571002;Grohe;Главная @ Душевые системы @ Душевые лейки ;Tempesta;Душевая лейка;Для душа;;На шланг;100;220;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.27;
Душевая лейка Grohe Sena Stick 28034000;https://www.aquanet.ru/product/dushevaya-leyka-grohe-sena-stick-28034000/;28034000;Grohe;Главная @ Душевые системы @ Душевые лейки ;Sena;Душевая лейка;Для душа;;На шланг;35;215;;Металл;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.28;
Душевая лейка Grohe Euphoria Mono 27265000;https://www.aquanet.ru/product/dushevaya-leyka-grohe-euphoria-mono-27265000/;27265000;Grohe;Главная @ Душевые системы @ Душевые лейки ;Euphoria;Душевая лейка;Для душа;;На шланг;110;244;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.27;
Душевая лейка Grohe Tempesta Cosmopolitan 27573002;https://www.aquanet.ru/product/dushevaya-leyka-grohe-tempesta-cosmopolitan-27573002/;27573002;Grohe;Главная @ Душевые системы @ Душевые лейки ;Tempesta;Душевая лейка;Для душа;;На шланг;100;220;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.27;
Душевая лейка Grohe Rainshower Eco 120 27274000;https://www.aquanet.ru/product/dushevaya-leyka-grohe-rainshower-eco-120-27274000/;27274000;Grohe;Главная @ Душевые системы @ Душевые лейки ;Rainshower;Душевая лейка;Для душа;;На шланг;60;240;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.24;
Душевая лейка Grohe Euphoria Massage 27221000;https://www.aquanet.ru/product/dushevaya-leyka-grohe-euphoria-massage-27221000/;27221000;Grohe;Главная @ Душевые системы @ Душевые лейки ;Euphoria;Душевая лейка;Для душа;;На шланг;110;243;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.35;
Душевая лейка Grohe Eurocube 27884001;https://www.aquanet.ru/product/dushevaya-leyka-grohe-eurocube-27884001/;27884001;Grohe;Главная @ Душевые системы @ Душевые лейки ;Eurocube;Душевая лейка;Для душа;;На шланг;27;216;;Латунь;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.3;
Душевая лейка Grohe Tempesta New 27597001;https://www.aquanet.ru/product/dushevaya-leyka-grohe-tempesta-new-27597001/;27597001;Grohe;Главная @ Душевые системы @ Душевые лейки ;Tempesta;Душевая лейка;Для душа;;На шланг;100;220;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.3;
Душевая лейка Grohe New Tempesta 26161001;https://www.aquanet.ru/product/dushevaya-leyka-grohe-new-tempesta-26161001/;26161001;Grohe;Главная @ Душевые системы @ Душевые лейки ;Tempesta;Душевая лейка;Для душа;;На шланг;100;220;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Германия;;;;;;0.29;
Душевая лейка Cezares Articoli Vari CZR-D1FC2-02-M;https://www.aquanet.ru/product/dushevaya_leyka_cezares_articoli_vari_czr_d1fc2_02_m/;CZR-D1FC2-02-M;Cezares;Главная @ Душевые системы @ Душевые лейки ;Articoli Vari;Душевая лейка;Для душа;;На шланг;;;;Латунь;Модерн;Бронза;;;;;;;Нет;01.фев;;;Италия;;;;;;1;
Верхний душ Ravak Chrome X07P016;https://www.aquanet.ru/product/verkhniy_dush_ravak_chrome_x07p016/;X07P016;Ravak;Главная @ Душевые системы @ Верхние души ;Chrome;Верхний душ;Для душа;;На потолок / На стену;300;57;300;Латунь;Модерн;Хром;;;;;;;;01.фев;;;Чехия;Да;;;;300;2;
Шланг для душа Grohe Relexa 28105000;https://www.aquanet.ru/product/shlang_dlya_dusha_grohe_relexa_28105000/;28105000;Grohe;Главная @ Душевые системы @ Шланги для душа ;Relexa;Гибкий шланг для душа;Для душа;;;;;;Алюминий;;Хром;;;;;;;;01.фев;;;Германия;;;;;;0.29;
Душевая панель Jacob Delafon WaterTile E3872-185;https://www.aquanet.ru/product/dushevaya-panel-jacob-delafon-watertile-e3872-185/;E3872-185;Jacob Delafon;Главная @ Душевые системы @ Душевые панели ;WaterTile;Душевая панель;Для душа;Термостат;;280;1368;;Алюминий/пластик;Hi - Tech;Хром;;;;;;Есть;;;;;Франция;Да;;;Да;;16.май;
Шланг для душа Cezares Articoli Vari CZR-FMDC-120-03;https://www.aquanet.ru/product/gibkiy_shlang_dlya_dusha_cezares_articoli_vari_czr_fmdc_120_03/;CZR-FMDC-120-03;Cezares;Главная @ Душевые системы @ Шланги для душа ;Articoli Vari;Гибкий шланг для душа;Для душа;;;;;;Латунь;;Золото;;;;;;;;;;;Италия;;;;;;0.3;
Верхний душ Jacob Delafon Eo E14536-CP;https://www.aquanet.ru/product/verkhniy-dush-jacob-delafon-eo-e14536-cp/;E14536-CP;Jacob Delafon;Главная @ Душевые системы @ Верхние души ;EO;Верхний душ;Для душа;;На потолок / На стену;203;65;203;Латунь;Модерн;Хром;;;;;;;;01.фев;;;Франция;Нет;;;;203;02.июн;
Верхний душ Jacob Delafon Katalyst E13695-CP;https://www.aquanet.ru/product/verkhniy-dush-jacob-delafon-katalyst-e13695-cp/;E13695-CP;Jacob Delafon;Главная @ Душевые системы @ Верхние души ;Katalyst;Верхний душ;Для душа;;На потолок / На стену;200;65;200;Латунь;Модерн;Хром;;;;;;;;01.фев;;;Франция;Да;;;;200;;
Душевой гарнитур Jacob Delafon Fairfax E75090-CP;https://www.aquanet.ru/product/dushevoy-garnitur-jacob-delafon-fairfax-e75090-cp/;E75090-CP;Jacob Delafon;Главная @ Душевые системы @ Душевые гарнитуры ;Fairfax;Душевой гарнитур;Для душа;;На стену;85;230;80;Латунь;Модерн;Хром;;;;;Нет;Есть;;;1750;1750;Италия;;;;;;01.янв;
Шланг для душа Cezares Articoli Vari CZR-FD-01;https://www.aquanet.ru/product/gibkiy_shlang_dlya_dusha_cezares_articoli_vari_czr_fd_01_czr_c_fd_01/;CZR-FD-01;Cezares;Главная @ Душевые системы @ Шланги для душа ;Articoli Vari;Гибкий шланг для душа;Для душа;;;;;;Латунь;;Хром;;;;;;;;;;;Италия;;;;;;0.28;
Душевая стойка Lemark Omega LM3160C;https://www.aquanet.ru/product/dushevaya_stoyka_lemark_omega_lm3160c/;LM3160C;Lemark;Главная @ Душевые системы @ Душевые стойки ;Omega;Душевая стойка;Для душа;Однорычажное;На стену;;1380;;Латунь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1500;1500;Чехия;Да;;;Нет;;май.25;
Шланг для душа Cezares Articoli Vari CZR-FD-50-03/24;https://www.aquanet.ru/product/gibkiy_shlang_dlya_dusha_cezares_articoli_vari_czr_fd_50_03_24/;CZR-FD-50-03/24;Cezares;Главная @ Душевые системы @ Шланги для душа ;Articoli Vari;Гибкий шланг для душа;Для душа;;;;;;Латунь;;Золото;;;;;;;;;;;Италия;;;;;;0.3;
Шланг для душа Cezares Articoli Vari CZR-FMDC2-120-02;https://www.aquanet.ru/product/gibkiy_shlang_dlya_dusha_cezares_articoli_vari_czr_fmdc2_120_02/;CZR-FMDC2-120-02;Cezares;Главная @ Душевые системы @ Шланги для душа ;Articoli Vari;Гибкий шланг для душа;Для душа;;;;;;Латунь;;Бронза;;;;;;;;;;;Италия;;;;;;0.22;
Гигиенический душ Kludi Bozz 7304205-00;https://www.aquanet.ru/product/gigienicheskiy_dush_kludi_bozz_7304205_00/;7304205-00;Kludi;Главная @ Душевые системы @ Гигиенический душ ;Bozz;Гигиенический душ;Для душа;;На стену;40;90;;Пластик;Модерн;Хром;;;;;;;Есть;01.фев;1200;1200;Германия;;;;;;0.42;
Штанга для душа Grohe Tempesta Classic 27523000;https://www.aquanet.ru/product/shtanga_dlya_dusha_grohe_tempesta_classic_27523000/;27523000;Grohe;Главная @ Душевые системы @ Штанги для душа ;Tempesta Classic;Штанга для душа;Для душа;;На стену;;620;61;Алюминий;Модерн;Хром;2;;;;;;;;;;Германия;;;;;;0.56;
Душевая лейка BelBagno Nova BB-D1C4;https://www.aquanet.ru/product/dushevaya_leyka_belbagno_nova_bb_d1c4/;BB-D1C4;BelBagno;Главная @ Душевые системы @ Душевые лейки ;Nova;Душевая лейка;Для душа;;На шланг;240;;100;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Италия;;;;;;1;
Штанга для душа BelBagno Nova BB-SAC-IN;https://www.aquanet.ru/product/shtanga_dlya_dusha_belbagno_nova_bb_sac_in/;BB-SAC-IN;BelBagno;Главная @ Душевые системы @ Штанги для душа ;Nova;Штанга для душа;Для душа;;На стену;;750;;Нержавеющая сталь;Модерн;Сатин;2;;;;;;;;;;Италия;;;;;;2;
Гигиеническая лейка Oras Optima 272050;https://www.aquanet.ru/product/gigienicheskaya_leyka_oras_optima_272050/;272050;Oras;Главная @ Душевые системы @ Гигиенические лейки ;Optima;Гигиеническая лейка;Для унитаза;;На шланг;40;185;;Латунь/пластик;Модерн;Хром;;;;;;;;01.фев;;;Финляндия;;;;;;0.12;
Верхний душ BelBagno Arlie BB-SLD1C-200-CRM;https://www.aquanet.ru/product/verkhniy_dush_belbagno_arlie_bb_sld1c_200_crm/;BB-SLD1C-200-CRM;BelBagno;Главная @ Душевые системы @ Верхние души ;Arlie;Верхний душ;Для душа;;На потолок;200;;200;Нержавеющая сталь;Модерн;Хром;;;;;;;;01.фев;;;Италия;Нет;;;;200;3;
